date,startup,vertical,subvertical,city,investors,round,amount
2020-09-01,byjus,e-tech,e-learning,bengaluru,tiger global management,private equity round,1650.0
2020-01-13,shuttl,transportation,app based shuttle service,gurgaon,susquehanna growth equity,series funding,66.3992505
2020-09-01,mamaearth,e-commerce,retailer of baby and toddler products,bengaluru,sequoia capital india,series funding,151.460595
2020-02-01,https://www.wealthbucket.in/,fintech,online investment,new delhi,vinod khatumal,series funding,24.75
2020-02-01,fashor,fashion and apparel,embroiled clothes for women,mumbai,sprout venture partners,seed funding,14.85
2020-01-13,pando,logistics,"open-market, freight management platform",chennai,chiratae ventures,series funding,74.25
2020-10-01,zomato,hospitality,online food delivery platform,gurgaon,ant financial,private equity round,1237.5
2019-12-12,ecozen,technology,agritech,pune,sathguru catalyzer advisors,series funding,49.5
2019-06-12,cardekho,e-commerce,automobile,gurgaon,ping an global voyager fund,series funding,577.5
2019-03-12,dhruva space,aerospace,satellite communication,bengaluru,mumbai angels,seed funding,412.5
2019-03-12,dhruva space,aerospace,satellite communication,bengaluru,ravikanth reddy,seed funding,412.5
2019-12-13,rivigo,technology,logistics services and solutions,gurgaon,saif partners,series funding,165.0
2019-12-13,rivigo,technology,logistics services and solutions,gurgaon,spring canter investment ltd.,series funding,165.0
2019-12-17,healthians,b2b-focused foodtech startup,food solutions for corporate,bengaluru,paytm,series funding,99.0
2019-12-17,healthians,b2b-focused foodtech startup,food solutions for corporate,bengaluru,nptk,series funding,99.0
2019-12-17,healthians,b2b-focused foodtech startup,food solutions for corporate,bengaluru,sabre partners,series funding,99.0
2019-12-17,healthians,b2b-focused foodtech startup,food solutions for corporate,bengaluru,neoplux,series funding,99.0
2019-12-16,licious,e-commerce,online meat and seafood ordering startup,bengaluru,vertex growth fund,series funding,247.5
2019-12-14,trell,video,experience discovery platform,bengaluru,ruizheng investment,seed funding,16.5
2019-11-12,rein games,gaming,real money based gaming startup,noida,manipal education,seed funding,412.5
2019-11-12,rein games,gaming,real money based gaming startup,noida,medical group (memg),seed funding,412.5
2019-12-20,lenskart.com,e-commerce,online eyewear shopping portal,faridabad,softbank vision fund,series funding,1905.75
2019-11-13,freshworks,software,business and customer engagement tools,san francisco,sequoia,series funding,1237.5
