date,startup,vertical,subvertical,city,investors,round,amount
2020-09-01,byju’s,e-tech,e-learning,bengaluru,tiger global management,private equity round,1650.0
2020-01-13,shuttl,transportation,app based shuttle service,gurgaon,susquehanna growth equity,series funding,66.3992505
2020-09-01,mamaearth,e-commerce,retailer of baby and toddler products,bengaluru,sequoia capital india,series funding,151.460595
2020-02-01,https://www.wealthbucket.in/,fintech,online investment,new delhi,vinod khatumal,series funding,24.75
2020-02-01,fashor,fashion and apparel,embroiled clothes for women,mumbai,sprout venture partners,seed funding,14.85
2020-01-13,pando,logistics,"open-market, freight management platform",chennai,chiratae ventures,series funding,74.25
2020-10-01,zomato,hospitality,online food delivery platform,gurgaon,ant financial,private equity round,1237.5
2019-12-12,ecozen,technology,agritech,pune,sathguru catalyzer advisors,series funding,49.5
2019-06-12,cardekho,e-commerce,automobile,gurgaon,ping an global voyager fund,series funding,577.5
2019-03-12,dhruva space,aerospace,satellite communication,bengaluru,"mumbai angels, ravikanth reddy",seed funding,412.5
2019-12-13,rivigo,technology,logistics services and solutions,gurgaon,"saif partners, spring canter investment ltd.",series funding,165.0
2019-12-17,healthians,b2b-focused foodtech startup,food solutions for corporate,bengaluru,"paytm, nptk, sabre partners and neoplux",series funding,99.0
2019-12-16,licious,e-commerce,online meat and seafood ordering startup,bengaluru,vertex growth fund,series funding,247.5
2019-12-14,trell,video,experience discovery platform,bengaluru,ruizheng investment,seed funding,16.5
2019-11-12,rein games,gaming,real money based gaming startup,noida,manipal education and medical group (memg),seed funding,412.5
2019-12-20,lenskart.com,e-commerce,online eyewear shopping portal,faridabad,softbank vision fund,series funding,1905.75
2019-11-13,freshworks,software,business and customer engagement tools,san francisco,"sequoia, capitalg, accel",series funding,1237.5
2019-11-14,misters,health and wellness,men's health and wellness brand,gurgaon,"sauce.vc, rainforest ventures",series funding,4.0095
2019-11-13,sunstone eduversity pvt. ltd,education,elearning,gurgaon,"prime venture partners, letsventure, ps1 venture and globallogic co-founder rajul garg",seed funding,12.375
2019-11-17,burger singh,food and beverage,indian burger brand,gurgaon,rb investments,venture,0.0
2019-11-18,healthians,health and wellness,healthcare services,gurgaon,"dg daiwa ventures, dg incubation",series funding,99.0
